Organization|Report Name|Publication year|Report type|Adherence level
Accenture Spain|Informe de responsabilidad empresarial España 2016|2017|GRI - Standards|In accordance - Comprehensive
Accenture Spain|Informe de responsabilidad empresarial España 2015|2016|GRI - G4|In accordance - Comprehensive
Accenture Spain|Informe de responsabilidad empresarial España 2014|2015|GRI - G4|In accordance - Comprehensive
Accenture Spain|2013 Sustainability Report|2014|GRI - G4|In accordance - Comprehensive
Accenture Spain|Memoria España 2012. Informe de Responsabilidad empresarial|2013|GRI - G3.1|A+
Accenture Spain|Memoria España 2011. Informe de Responsabilidad empresarial|2012|GRI - G3.1|A+
Accenture Spain|Informe de Responsabilidad empresarial 2010|2011|GRI - G3.1|A+
Accenture Spain|Memoria España 2009. Informe de Responsabilidad empresarial|2010|GRI - G3|A+
Accenture Spain|Memoria 2008|2009|GRI - G3|A+
Accenture Spain|Memoria España 2007|2008|GRI - G3|A
Access Bank Ghana|Annual Report 2017|2018|Citing - GRI|None
Access Bank Ghana|Annual Report 2016|2017|Non - GRI|N/A
Access Bank Ghana|Annual Report 2015|2016|Non - GRI|N/A
Access Bank PLC|10 Years of Leading Sustainability: 2017 Sustainability Report|2018|Citing - GRI|None
Access Bank PLC|2016 SUSTAINABILITY REPORT|2017|GRI - G4|In accordance - Comprehensive
Access Bank PLC|2015 SUSTAINABILITY REPORT|2016|GRI - G4|Undeclared
Access Bank PLC|SUSTAINABILITY REPORT 2014|2015|GRI - G4|In accordance - Core
Access Bank PLC|SUSTAINABILITY REPORT 2013|2014|GRI - G3.1|Undeclared
Access Bank PLC|Sustainability Report 2012|2013|GRI - G3|B+
Access Bank PLC|CSR Report 2011|2012|GRI - G3|B+
Access Bank PLC|CSR Report 2010|2011|GRI - G3|B+
Access Bank PLC|CSR Report 2009|2010|GRI - G3|B+
Access Bank PLC|2008 CSR Report|2009|GRI - G3|C+
Access Bank PLC|2008 Sustainability Report|2008|GRI - G3|C+
Access Engineering|Annual Report 2016/17|2017|GRI - G4|In accordance - Core
Access Engineering|Annual Report 2015/16|2016|GRI - G4|Undeclared
Access Engineering|Annual Report 2014/15|2015|GRI - G3|B
Access Engineering|Sustainability Report 2013/2014|2014|GRI - G3.1|B
Access Engineering|Sustainability Report 2012/2013|2013|Citing - GRI|None
Access Engineering|Sustainability Report 2011/2012|2012|Citing - GRI|None
Acciona|MEMORIA DE SOSTENIBILIDAD 2018|2019|GRI - Standards|In accordance - Comprehensive
Acciona|Memoria de Sostenibilidad 2017|2018|GRI - Standards|In accordance - Comprehensive
Acciona|MEMORIA DE SOSTENIBILIDAD 2016|2017|GRI - G4|In accordance - Comprehensive
Acciona|Memoria de Sostenibilidad 2016|2017|GRI - G4|In accordance - Comprehensive
Acciona|MEMORIA DE SOSTENIBILIDAD 2015|2016|GRI - G4|In accordance - Comprehensive
Acciona|Memoria de Sosteniblidad 2014|2015|GRI - G4|In accordance - Comprehensive
Acciona|Memoria de Sostenibilidad 2013|2014|GRI - G4|In accordance - Comprehensive
Acciona|Sustainability Report 2012|2013|GRI - G3.1|A+
Acciona|Sustainability Report 2011|2012|GRI - G3.1|A+
Acciona|Sustainability Report 2010|2011|GRI - G3|A+
Acciona|Memoria Sostenibilidad 2009|2010|GRI - G3|A+
Acciona|Memoria Sostenibilidad 2008|2009|GRI - G3|A+
Acciona|Memoria Sostenibilidad 2007|2008|GRI - G3|A+
Acciona|Memoria de Sostenibilidad 2006|2007|GRI - G3|A+
Acciona|Memoria de Sostenibilidad 2005|2006|GRI - G2|Content Index Only
Acciona Forwarding Perú S.A.|Acciona Forwarding Peru S.A. 2017|2018|Citing - GRI|None
ACCIÓN RSE|Reporte de sustentabilidad 2008|2009|GRI - G3|A
ACCIÓN RSE|Reporte de Sustentabilidad 2007|2008|GRI - G3|A
ACC Limited|ACC Limited Sustainable Development Report 2017|2018|GRI - Standards|In accordance - Comprehensive
ACC Limited|Building the nation and the company. Annual report 2015-16|2017|Non - GRI|N/A
ACC Limited|Sustainable Development Report 2015|2016|GRI - G4|In accordance - Comprehensive
ACC Limited|Sustainable Development Report 2014|2015|GRI - G4|In accordance - Comprehensive
ACC Limited|Sustainable Development Report 2013|2014|GRI - G4|In accordance - Core
ACC Limited|Sustainable Development Report 2012|2013|GRI - G3.1|Undeclared
ACC Limited|Sustainable Development Report 2011|2012|GRI - G3.1|A+
ACC Limited|Sustainable Development Report 2010|2011|Citing - GRI|None
ACC Limited|2008 Sustainable Development Update Report|2009|GRI - G3|Undeclared
ACC Limited|Sustainable Development Report 2007|2008|GRI - G3|Undeclared
Accor|Document de référence 2018|2019|Non - GRI|N/A
Accor|REGISTRATION DOCUMENT AND ANNUAL FINANCIAL REPORT 2017|2018|Citing - GRI|None
Accor|Registration document 2015|2016|GRI - G4|In accordance - Core
Accor|Registration Document 2014|2015|GRI - G4|In accordance - Core
Accor|REGISTRATION DOCUMENT AND ANNUAL FINANCIAL REPORT|2014|GRI - G3.1|Undeclared
Accor|2012 ANNUAL REPORT|2013|Non - GRI|N/A
Accor|2004 Annual Report|2005|GRI - G2|Content Index Only
Accor Hotels|AccorHotels Australia: 2017 Corporate Responsibility Report|2018|GRI - Standards|In accordance - Core
Accor Hotels|AccorHotels Australia: 2016 Corporate Responsibility Report|2017|GRI - Standards|In accordance - Core
Accor México|Sustainability report 2011|2012|GRI - G3.1|B
Accton Technology Corp.|2017 Corporate Social Responsibility Report (Traditional Chinese Version)|2018|GRI - G4|In accordance - Core
Accton Technology Corp.|2016 CSR Report|2017|GRI - G4|Undeclared
Acea|Bilancio di Sostenibilità 2018|2019|GRI - Standards|In accordance - Comprehensive
Acea|Sustainability Report 2016|2017|Non - GRI|N/A
Acea|BILANCIO DI SOSTENIBILITÀ 2015|2016|GRI - G4|In accordance - Comprehensive
Acea|Sustainability Report 2014|2015|GRI - G3.1|Undeclared
Acea|ACEA 2013 SUSTAINABILITY REPORT|2014|GRI - G3.1|A+
Acea|Sustainability Report 2012|2013|GRI - G3.1|A+
Acea|Sustainibility Report 2011|2012|GRI - G3.1|A+
Acea|Sustainibility Report 2010|2011|GRI - G3.1|A+
Acea|Sustainibility Report 2009|2010|GRI - G3|A+
Acea|Bilancio di Sostenibilita 2008|2009|GRI - G3|A+
Acea|Bilancio di Sostenibilita 2007|2008|GRI - G3|A+
Acea|Sustainability Report 2006|2007|GRI - G3|A+
Acea|Sustainability Report 2005|2006|GRI - G2|In Accordance
Acea|Sustainability Report 2004|2005|GRI - G2|In Accordance
Acea|Sustainability Report 2003|2004|GRI - G2|In Accordance
Acea|Rapporto Ambientale 2002|2003|GRI - G2|In Accordance
Acea|Social and Environmental report 2000|2001|GRI - G1|None
Acea|Social and Environmental report 1998|1999|GRI - G1|N/A
ACEFAT|Memoria de sostenibilitat 2012|2013|GRI - G3.1|Undeclared
ACEFAT|Memòria de sostenibilitat 2011|2012|GRI - G3.1|A
ACEFAT|Memòria de sostenibilitat 2009-2010|2011|GRI - G3.1|A
ACEFAT|Memòria de sostenibilitat 2008|2009|GRI - G3|A
AcegasAps|Bilancio Integrato 2012|2013|GRI - G3.1|A
AcegasAps|Bilancio Integrato 2011|2012|GRI - G3|A
AcegasAps|Bilancio Integrato 2010|2011|GRI - G3|A
AcegasAps|Bilancio Integrato 2008|2009|GRI - G3|A
AcegasAps|Bilancio Integrato 2007|2008|GRI - G3|Undeclared
ACEING SAC|REPORTE DE SOSTENIBILIDAD 2018|2019|GRI - Standards|GRI - Referenced
ACENAVIR S.A.C.|REPORTE DE SOSTENIBILIDAD 2018|2019|GRI - Standards|GRI - Referenced
Acer|2016 Acer Corporate Responsibility Report|2017|GRI - G4|In accordance - Core
Acer|2015 CSR Report|2016|GRI - G4|In accordance - Core
Acer|Acer Corporate responsibility report 2014|2015|GRI - G4|In accordance - Core
Acer|Acer Corporate Responsibilty Report 2013: Transforming the Future|2014|GRI - G4|In accordance - Core
Acer|Acer Corporate Reponsibility Report 2012|2013|GRI - G3.1|A+
Acer|2011 Acer Corporate Responsibility Report|2012|GRI - G3.1|B+
Acer|CR Report 2010|2011|GRI - G3.1|B
Acer|2009 CSR Report|2010|GRI - G3|B
Acer|2008 Corporate Responsibility Report|2009|GRI - G3|Undeclared
Acerinox|Informe de Sostenibilidad 2018|2019|GRI - Standards|In accordance - Core
Acerinox|Informe de Sostenibilidad Acerinox 2017|2018|GRI - G4|In accordance - Core
Acerinox|Informe de Sostenibilidad Acerinox 2016|2017|GRI - G4|In accordance - Core
Acerinox|Informe de Sostenibilidad Acerinox 2015|2016|GRI - G4|In accordance - Core
Acerinox|Informe de Sostenibilidad Acerinox 2014|2015|GRI - G3.1|A
Acerinox|INFORME DE SOSTENIBILIDAD ACERINOX 2013|2014|GRI - G3|A
Acerinox|INFORME DE SOSTENIBILIDAD ACERINOX 2012|2013|GRI - G3|A
Acerinox|INFORME DE SOSTENIBILIDAD ACERINOX 2011|2012|GRI - G3|B
Aceros Arequipa|Reporte de Sostenibilidad 2018|2019|GRI - Standards|In accordance - Core
Aceros Arequipa|Reporte de Sostenibilidad 2017|2018|GRI - Standards|In accordance - Core
Aceros Arequipa|Reporte de Sostenibilidad|2017|GRI - G4|Undeclared
Acesco|Reporte de Sostenibilidad 2016|2017|GRI - G4|In accordance - Core
Acesco|Reporte de sostenibilidad|2016|GRI - G4|In accordance - Core
ACES ELECTRONICS|2015 Corporate Social Responsibility Report (Chinese Version)|2016|Non - GRI|N/A
ACES ELECTRONICS|2014 Corporate Social Responsibility Report (Chinese Version)|2015|Non - GRI|N/A
ACES ELECTRONICS|2013 Corporate Social Responsibility Report (Chinese Version)|2014|Non - GRI|N/A
Aché Laboratórios Farmacêuticos|Relatório Anual 2016|2017|GRI - G4|In accordance - Core
Aché Laboratórios Farmacêuticos|Relatório Anual 2016|2016|GRI - G4|In accordance - Core
Achmea Holding|Annual Report 2016|2017|GRI - G4|In accordance - Core
Achmea Holding|Jaarverslag 2015|2016|GRI - G4|In accordance - Core
Achmea Holding|Jaarverslag 2014|2015|GRI - G4|In accordance - Core
Achmea Holding|Jaarverslag 2013|2014|GRI - G4|In accordance - Core
Achmea Holding|Maatschappelijk Jaarverslag 2012|2013|GRI - G3.1|A+
Achmea Holding|Maatschappelijk Jaarverslag 2011|2012|GRI - G3|A+
Achmea Holding|Tussen winst and waarde 2010|2011|GRI - G3|Undeclared
Achmea Holding|MVO Rapport 2009|2010|GRI - G3|A+
Achmea Holding|MVO Jaarverslag 2008|2008|GRI - G3|Undeclared
Achmea Holding|Maatschappelijk Jaarverslag 2006|2007|GRI - G3|Undeclared
Achmea Holding|Maatschappelijk jaarverslag 2005|2006|GRI - G2|Content Index Only
Achmea Holding|MVO jaarverslag 2004|2005|GRI - G2|Content Index Only
Acindar Grupo ArcelorMittal|Reporte de Sustentabilidad 2016|2017|GRI - G4|In accordance - Core
Acindar Grupo ArcelorMittal|Reporte de Sustentabilidad 2015|2016|GRI - G4|In accordance - Core
Acindar Grupo ArcelorMittal|Reporte de Sustentabilidad 2014|2015|GRI - G4|In accordance - Core
Acindar Grupo ArcelorMittal|Reporte de Sustentabilidad 2013|2014|GRI - G3|B
Acindar Grupo ArcelorMittal|Reporte de Sustentabilidad 2012|2013|GRI - G3|B
Acindar Grupo ArcelorMittal|Reporte de sustentabilidad 2011|2012|GRI - G3|B
Acindar Grupo ArcelorMittal|Reporte de Sustentabilidad 2010|2011|GRI - G3|B
ACL Cables PLC|Annual Report 2017/18|2018|Non - GRI|N/A
ACL Cables PLC|Annual Report 2016/17|2017|Non - GRI|N/A
ACL Cables PLC|Annual Report 2015/16|2016|Non - GRI|N/A
ACL Cables PLC|Annual Report 2014/15|2015|Non - GRI|N/A
ACL Cables PLC|Annual Report 2013/14|2014|Non - GRI|N/A
Acleda Bank|Annual Report 2017|2018|GRI - G4|Undeclared
Acleda Bank|Annual Report 2016|2017|Citing - GRI|None
Acleda Bank|Annual Report 2015|2016|Citing - GRI|None
Acleda Bank|Annual Report 2014|2015|Citing - GRI|None
Acleda Bank|Annual Report 2013|2014|Citing - GRI|None
Acleda Bank|Annual Report 2012|2013|Citing - GRI|None
Acleda Bank|Annual Report 2011|2012|Citing - GRI|None
Acleda Bank|Annual Report 2010|2011|Citing - GRI|None
Acleda Bank|Annual Report 2009|2010|Citing - GRI|None
Acleda Bank|Annual Report 2008|2009|Citing - GRI|None
Acleda Bank|Annual Report 2007|2008|GRI - G2|Content Index Only
Acleda Bank|Annual Report 2006|2007|GRI - G2|Content Index Only
Acleda Bank|Annual Report 2005|2006|GRI - G2|Content Index Only
ACMA SOSTENIBLE  S.L.|Memoria de Sostenibilidad ACMA 2010|2011|GRI - G3.1|B
Acme Electronics Corporation|2016 Corporate Social Responsibility Report (Traditional Chinese Version)|2017|GRI - G4|In accordance - Core
Acme Electronics Corporation|2015 Corporate Social Responsibility Report (Chinese Version)|2016|GRI - G4|In accordance - Core
Acme Electronics Corporation|2014 Corporate Social Responsibility Report (Chinese Version)|2015|GRI - G4|In accordance - Core
A.C. Milan|Rapporto di Sostenibilitá 2016/2017|2018|GRI - G4|In accordance - Core
A.C. Milan|Rapporto di Sostenibilitá 2015/2016|2017|GRI - G4|Undeclared
AC Milan|Sustainability Report 2016/2017|2018|GRI - G4|In accordance - Core
AC Milan|Sustainability Report 2015/2016|2017|GRI - G4|In accordance - Core
ACMS Galicia|Memoria de Sostenibilidad 2006|2006|GRI - G2|Content Index Only
Acomo|Annual Report 2017|2017|GRI - G4|In accordance - Core
ACO NORDIC GROUP A/S|ACO Nordic Group A/S CSR Report 2018|2019|GRI - Standards|In accordance - Core
A Coruña Port Authority|Sustainability Report 2017|2018|Non - GRI|N/A
A Coruña Port Authority|Memoria Sostenibilidad 2015|2016|GRI - G4|In accordance - Core
A Coruña Port Authority|Memoria Sostenibilidad 2014|2015|GRI - G4|In accordance - Core
A Coruña Port Authority|2013 Memoria Sostenibilidad|2014|GRI - G3|A
A Coruña Port Authority|Corporate Responsibility Report 2012|2013|GRI - G3.1|A+
A Coruña Port Authority|Memoria de sostenibilidad 2011|2012|GRI - G3|A+
A Coruña Port Authority|A Coruña Port Authority Sustainability Report 2010|2011|GRI - G3.1|A+
A Coruña Port Authority|2009 Sustainability Report|2010|GRI - G3|A+
A Coruña Port Authority|CSR Report 2008|2009|GRI - G3|A+
A Coruña Port Authority|Corporate Responsibility Report|2008|GRI - G3|A+
Acsion Real Estate|INTEGRATED REPORT 2016|2017|Non - GRI|N/A
Acsion Real Estate|INTEGRATED REPORT 2017|2017|Non - GRI|N/A
ACSP (Associação Comercial de São Paulo)|Relatório Social 2016|2017|GRI - G4|In accordance - Core
ACSP (Associação Comercial de São Paulo)|RELATÓRIO SOCIAL 2015|2016|GRI - G4|In accordance - Core
ACSP (Associação Comercial de São Paulo)|RELATÓRIO SOCIAL 2014|2015|GRI - G4|In accordance - Core
ACSP (Associação Comercial de São Paulo)|Relatório Social 2013|2014|GRI - G3|Undeclared
ACSP (Associação Comercial de São Paulo)|Relatório Social 2012|2013|GRI - G3|Undeclared
ACSP (Associação Comercial de São Paulo)|Relatório Social 2011|2012|GRI - G3|C+
ACSP (Associação Comercial de São Paulo)|Relatorio Social 2010|2011|GRI - G3|B
ACSP (Associação Comercial de São Paulo)|Relatorio Social 2009|2010|GRI - G3|B
ACSP (Associação Comercial de São Paulo)|Relatório Social 2008|2009|GRI - G3|C
Actelion|Sustainability Report 2016|2017|Citing - GRI|None
Actelion|SUSTAINABILITY REPORT. 2015|2016|GRI - G4|In accordance - Core
Actelion|Corporate Governance and CSR Report 2013|2014|Non - GRI|N/A
Acteos|Document de référence 2017|2018|Non - GRI|N/A
Acteos|Document de référence 2016|2017|Citing - GRI|None
Acteos|Document de Référence 2015|2016|Citing - GRI|None
Acteos|Rapport Annuel 2014|2015|Citing - GRI|None
Acter Co., Ltd.|Corporate Social Responsibility Report 2016 (Traditional Chinese Version)|2017|GRI - G4|Undeclared
Acter Co., Ltd.|Acter Co., Ltd. Corporate Social Responsibility Report 2015|2016|GRI - G4|Undeclared
Acter Co., Ltd.|2014 Acter Co., Ltd. Corporate Social Responsibility Report|2015|GRI - G4|Undeclared
ActewAGL|Our Year in Review|2016|Non - GRI|N/A
ActewAGL|Our year in review 2014-2015|2015|Non - GRI|N/A
ActewAGL|Sustainability Performance Report 2013|2014|Non - GRI|N/A
ActewAGL|Sustainability Report 2011/12|2012|GRI - G3|C
ActewAGL|Sustainability Report 2010-2011|2011|GRI - G3|C+
ActewAGL|Annual and Sustainability report 2009-2010|2010|GRI - G3|C+
ActewAGL|Annual and Sustainability report 2008|2008|GRI - G3|Undeclared
Actia|Document de référence 2017|2018|Non - GRI|N/A
Actia|Registration Document 2016|2017|Non - GRI|N/A
Actia|Document de référence 2015|2016|Non - GRI|N/A
Actia|Document de référence 2014|2015|Non - GRI|N/A
ACTIVA MUTUA|Memoria de Sostenibilidad 2017|2017|GRI - Standards|In accordance - Core
ACTIVA MUTUA|Memoria de Sostenibilidad 2016|2017|GRI - G4|In accordance - Core
ACTIVA MUTUA|Memoria de Sostenibilidad 2015|2016|Citing - GRI|None
ACTIVA MUTUA|Memoria de Sostenibilidad 2014|2015|GRI - G3.1|Undeclared
ACTIVA MUTUA|Memoria de Sostenibilidad 2013|2014|GRI - G3|Undeclared
ACTIVA MUTUA|Memoria Activa Mutua Año 2012|2013|Non - GRI|N/A
ACTIVA MUTUA|INFORME ANUAL de Activa Mutua 2011|2012|Non - GRI|N/A
Actron Technology Corporation (ATC)|2017 Corporate Social Responsibility Report (Traditional Chinese Version)|2018|GRI - G4|In accordance - Core
Actron Technology Corporation (ATC)|2016 Corporate Social Responsibility Report (Traditional Chinese Version)|2017|GRI - G4|In accordance - Core
Actron Technology Corporation (ATC)|2015 Actron CSR Report|2016|GRI - G4|In accordance - Core
ACUAMED|Committed to water. 2011 Annual Report-  Sociedad Estatal Aguas de las Cuencas Mediterránea|2012|GRI - G3.1|A
Acucap Properties|Integrated Annual Report 2018|2018|Citing - GRI|None
Acucap Properties|Integrated Annual Report 2017|2017|Citing - GRI|None
Acucap Properties|Integrated Annual Report 2016|2016|Non - GRI|N/A
Acucap Properties|Integrated Annual Report 2015|2015|Non - GRI|N/A
Acucap Properties|2014 Integrated Annual Report|2014|Non - GRI|N/A
Acucap Properties|2013 Integrated Annual Report|2013|Non - GRI|N/A
Acucap Properties|2012 Integrated Annual Report|2012|Non - GRI|N/A
Acucap Properties|Annual Report 2011|2011|Non - GRI|N/A
Acucap Properties|Annual Report 2010|2010|Non - GRI|N/A
Acueducto Metropolitano de Bucaramanga|Informe De Gestión 2017|2018|Non - GRI|N/A
Acueducto Metropolitano de Bucaramanga|Informe de Gestión 2016|2017|Non - GRI|N/A
Acueducto Metropolitano de Bucaramanga|Informe de Sustentabilidad Gestión 2015|2016|Non - GRI|N/A
Acueducto Metropolitano de Bucaramanga|Informe de Sustentabilidad 2013|2014|Non - GRI|N/A
Acueducto Metropolitano de Bucaramanga|Informe de sustentabilidad 2011|2012|Non - GRI|N/A
ACWA Power|ACWA Power Annual Report 2016 - Sustainable value Reliable supply|2017|GRI - G4|In accordance - Core
ACWA Power|Sustainability Report 2015|2016|GRI - G4|In accordance - Core
ACWA Power|ACWA Power Sustainability Report 2014|2015|GRI - G4|In accordance - Core
ACWA Power|2012 Annual Report|2014|Non - GRI|N/A
ACWA Power|ACWA Power Annual Report 2013 Boundless Energy|2014|Non - GRI|N/A
ADAMA|Corporate Social Report 2014-2015|2016|GRI - G4|Undeclared
ADAMA|Corporate Social Report 2012-2013|2014|GRI - G3|B
ADAMA|CSR Report 2011|2012|GRI - G3|B
ADAMA|CSR Report 2010|2011|GRI - G3|B
ADAMA|CSR report 2009|2010|GRI - G3|B
Adam Capital PLC|Annual Report 2016/17|2018|Non - GRI|N/A
Adam Capital PLC|Annual Report 2015/16|2017|Non - GRI|N/A
Adampol|Corporate Social Responsibility 2015-2016|2017|Non - GRI|N/A
Adampol|CSR 2014|2015|Non - GRI|N/A
Adampol|CORPORATE SOCIAL RESPONSIBILITY REPORT 2013|2014|Non - GRI|N/A
Adampol|Spo?eczna Odpowiedzialno?? Biznesu 2012|2013|GRI - G3|C
Adampol|SPOŁECZNA ODPOWIEDZIALNOŚĆ BIZNESU W ADAMPOL SA 2011|2012|Citing - GRI|None
Adampol|RAPORT CSR ADAMPOL SA 2007-2010|2011|Non - GRI|N/A
Adani Enterprises Limited|Adani Enterprises Annual Report FY 16-17|2017|Non - GRI|N/A
Adani Ports And Special Economic Zone Ltd.|SMART PORT - Sustainability Report 2017-2018|2018|GRI - Standards|In accordance - Core
Adani Ports And Special Economic Zone Ltd.|GREEN AND CLEAN- Sustainability Report 2016-17|2017|GRI - Standards|In accordance - Core
Adani Ports And Special Economic Zone Ltd.|Adani Ports and Special Economic Zone Limited - Sustainability Report - Safe Smart Sustainable|2016|GRI - G4|In accordance - Core
Adani Ports And Special Economic Zone Ltd.|Adani Ports and Special Economic Zones Limited Annual Report 2013-2014|2014|Non - GRI|N/A
Adani Ports And Special Economic Zone Ltd.|Adani Enterprises Ltd. Annual Report 2012-2013|2013|Non - GRI|N/A
Adani Power|Adani Power Sustainability Report FY 16-17|2018|GRI - G4|In accordance - Comprehensive
Adani Power|Adani Power Annual Report FY 16-17|2017|Non - GRI|N/A
Adani Power|QUEST For A Brighter Tomorrow|2016|GRI - G4|In accordance - Comprehensive
Adani Power|Courage. Trust. Commitment.|2015|GRI - G4|In accordance - Comprehensive
Adani Transmission Limited|Adani Transmission Annual Report FY 16-17|2017|Non - GRI|N/A
Adapt IT Group|Integrated Annual Report 2018|2018|Citing - GRI|None
Adapt IT Group|Integrated Report 2017|2017|Citing - GRI|None
Adapt IT Group|Integrated Annual Report 2016|2016|Citing - GRI|None
Adapt IT Group|Integrated Annual Report 2015|2015|Citing - GRI|None
Adapt IT Group|Integrated Annual Report 2014|2014|Citing - GRI|None
Adapt IT Group|Integrated annual report 2013|2013|Citing - GRI|None
Adapt IT Group|Integrated Annual Report 2012|2012|Citing - GRI|None
Adapt IT Group|Integrated Annual Report 2011|2011|Non - GRI|N/A
Adapt IT Group|Annual Report 2010|2010|Non - GRI|N/A
ADARO ENERGY Tbk|25 Years of Empowering Excellence: Annual Report 2017|2018|Non - GRI|N/A
ADARO ENERGY Tbk|Annual Report 2016|2017|Non - GRI|N/A
ADARO ENERGY Tbk|Annual Report 2016|2017|Non - GRI|N/A
ADARO ENERGY Tbk|SUSTAINABILITY REPORT 2012-2013|2014|GRI - G4|In accordance - Core
ADARO ENERGY Tbk|Adaro Sustainability Report 2011|2013|GRI - G3.1|A
ADARO ENERGY Tbk|Adaro Sustainability Report 2010|2011|GRI - G3|A
ADBC|2016 Social Responsibility Report|2017|Citing - GRI|None
Adcock Ingram Holdings Limited|Integrated Report 2018|2018|Non - GRI|N/A
Adcock Ingram Holdings Limited|Integrated Report 2017|2017|Citing - GRI|None
Adcock Ingram Holdings Limited|Integrated Report 2016|2016|Non - GRI|N/A
Adcock Ingram Holdings Limited|Integrated Report 2015|2015|Non - GRI|N/A
Adcock Ingram Holdings Limited|Integrated Report 2014|2014|Citing - GRI|None
Adcock Ingram Holdings Limited|Integrated Report 2013|2013|GRI - G3|Undeclared
Adcock Ingram Holdings Limited|Integrated Report 2012|2012|GRI - G3.1|Undeclared
Adcock Ingram Holdings Limited|Integrated Annual Report 2011|2011|GRI - G3|B
Adcock Ingram Holdings Limited|Annual Report 2010|2010|Non - GRI|N/A
Adcorp|Integrated Annual Report 2018|2018|Non - GRI|N/A
Adcorp|Integrated Annual Report 2017|2017|Citing - GRI|None
Adcorp|Integrated Annual Report 2016|2016|Citing - GRI|None
Adcorp|Integrated Annual Report 2015|2015|GRI - G4|In accordance - Core
Adcorp|Integrated Annual Report 2014|2014|Citing - GRI|None
Adcorp|Integrated Annual Report 2013|2013|GRI - G3.1|Undeclared
Adcorp|Integrated Annual Report 2012|2012|GRI - G3|Undeclared
Adcorp|Integrated Annual Report 2011|2011|GRI - G3|C
Adcorp|Annual Report 2010|2010|Non - GRI|N/A
Addsino|Social Responsibility Report 2017|2018|Non - GRI|N/A
Addsino|Social Responsibility Report 2016|2017|Non - GRI|N/A
Addsino|Social Responsibility Report 2015|2016|Non - GRI|N/A
Addtech|Addtech Annual Reprot 2017/2018 -including Sustainability Report|2018|GRI - Standards|In accordance - Core
Addtech|Sustainability Report 2015/2016|2016|Citing - GRI|None
Addtech|Sustainability report 2014/2015|2015|GRI - G3|C
Addtech|Sustainability Report 2013/2014|2014|GRI - G3|C
Addtech|Sustainability Report 2012/2013|2013|GRI - G3|C
Addtech|Sustainability Report 2011/2012|2012|GRI - G3|C
Addtech|Sustainability Report 2010/2011|2011|GRI - G3|C
Adecco|CSR Report & CoP 2015/2016|2016|GRI - G4|In accordance - Comprehensive
Adecco|CSR Report & CoP 2014/2015|2015|GRI - G4|Undeclared
Adecco|CSR Communication on Progress 2013/2014|2014|GRI - G3.1|B
Adecco|Adecco Group CSR Report 2012/2013|2013|GRI - G3.1|B
Adecco|CSR CoP  2011|2012|GRI - G3.1|B
Adecco|CSR Report 2010|2011|GRI - G3.1|B
Adecco|CSR CoP 2009|2010|GRI - G3|B
Adecco|Corporate Responsibility Report 2008|2009|GRI - G3|B
Adecco|Sustainability Report|2008|GRI - G3|B
Adecco Argentina|Reporte de Sustentabilidad 2016|2017|GRI - G4|In accordance - Core
Adecco Argentina|Reporte de Sustentabilidad 2015|2016|GRI - G4|In accordance - Core
Adecco Argentina|Reporte de Sustentabilidad 2014|2015|GRI - G4|In accordance - Core
Adecco Argentina|Reporte de Sustentabilidad 2013|2014|GRI - G4|In accordance - Core
Adecco Argentina|Reporte de Sustentabilidad 2012|2013|GRI - G3.1|C
Adecco Argentina|Informe de Responsabilidad Social Empresaria|2012|GRI - G3|Undeclared
Adeka|CSR Report 2017|2017|GRI - G4|Undeclared
Adeka|CSR Reort 2016|2016|GRI - G4|Undeclared
Adeka|CSR Report 2015|2015|GRI - G4|Undeclared
Adeka|CSR Report 2014|2014|GRI - G3.1|Undeclared
Adeka|CSR Report 2013|2013|GRI - G3|Undeclared
Adeka|CSR Report 2012|2012|Citing - GRI|None
Adeka|CSR Report 2011|2011|Citing - GRI|None
Adeka|CSR Report 2010|2010|GRI - G3|Undeclared
Adeka|2009 CSR Report|2009|GRI - G3|Undeclared
Adelaide Brighton Ltd|2017 Annual Report|2017|Non - GRI|N/A
Adelaide Brighton Ltd|Annual Report 2015|2016|Non - GRI|N/A
Adelaide Brighton Ltd|ANNUAL REPORT 2014|2015|Citing - GRI|None
Adelaide Brighton Ltd|Adelaide Brighton 2013 Annual Report|2014|Citing - GRI|None
Adelaide Brighton Ltd|Annual Report 2012|2013|Citing - GRI|None
ADFIAP|Making Our Numbers Count: ADFIAP 2018 Sustainability Report|2019|GRI - Standards|In accordance - Core
ADFIAP|Diversity & Inclusion: ADFIAP 2017 Sustainability Report|2018|GRI - G4|Undeclared
ADFIAP|Many Colors, One World: Sustainability Report 2016|2017|GRI - G4|Undeclared
ADFIAP|At the Forefront of Sustainability - Sustainability Report 2015|2016|GRI - G4|Undeclared
ADFIAP|Sustainability Report 2014|2015|GRI - G4|In accordance - Core
ADFIAP|Sustainability Report 2013|2014|GRI - G4|In accordance - Core
ADFIAP|ADFIAP ADVANCE - 2012 Sustainability Magazine|2013|GRI - G3.1|C
ADFIAP|2011 Integrated Report|2012|GRI - G3|C
ADFIAP|2010 ADFIAP Integrated Annual and Sustainability Report|2011|GRI - G3|C
ADFIAP|2009 Annual report|2010|GRI - G3|C
ADFIAP|Report 2008|2009|GRI - G3|C
ADHI|Sustainability Report 2017|2018|Citing - GRI|None
ADHI|Sustainability Report 2016|2017|Citing - GRI|None
